epoch,split,loss_total,loss_pred_wr,loss_pred_rmse,loss_noarb_bfly,loss_noarb_cal,loss_param_l2,lr,grad_norm,batches,wall_time_s,hit_a_lo,hit_a_hi,hit_b_lo,hit_b_hi,hit_rho_lo,hit_rho_hi,hit_m_lo,hit_m_hi,hit_sigma_lo,hit_sigma_hi
32,train,0.2623672868524279,0.2517161305461611,0.2538635581731796,0.0,0.0006339503244297313,0.01001720383231129,0.00019285714285714286,0.003906,7,19.45027139999729,0.3013392857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,val,0.3296612799167633,0.3196471929550171,0.3184841722249985,0.0,0.0,0.010014099068939686,0.00019285714285714286,,2,2.503110099991318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,train,0.2478849674974169,0.23699604826314108,0.23942070773669652,0.0,0.0008765811424901975,0.010012332882199968,0.00019885714285714282,0.003906,7,20.519566600007238,0.390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,val,0.26242297887802124,0.2524156868457794,0.26101426780223846,0.0,0.0,0.010007291100919247,0.00019885714285714282,,2,2.7063690000068163,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,train,0.230987548828125,0.2199280560016632,0.2218807509967259,0.0,0.0010533830084438836,0.010006107256880828,0.00020485714285714283,0.003906,7,19.72786559999804,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,val,0.2595030143857002,0.2494995966553688,0.25278012454509735,0.0,0.0,0.010003424249589443,0.00020485714285714283,,2,2.2296294999978272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,train,0.22003724532467978,0.20968687108584813,0.21288400888442993,0.0,0.00034628109174913594,0.010004095467073577,0.00021085714285714284,0.003906,7,18.76628470000287,0.03794642857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,val,0.2707350105047226,0.26073408871889114,0.2629031538963318,0.0,0.0,0.010000926442444324,0.00021085714285714284,,2,2.2662567000079434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,train,0.23689828174454824,0.2255218199321202,0.227518869297845,0.0,0.0013741629663854837,0.010002298945827144,0.00021685714285714285,0.003906,7,23.490221200001542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,val,0.2500781714916229,0.24007609486579895,0.24727164208889008,0.0,0.0,0.010002074763178825,0.00021685714285714285,,2,2.682734000001801,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,train,0.21554468785013473,0.20450413014207566,0.2075943159205573,0.0,0.0010378467850387096,0.010002709526036466,0.00022285714285714283,0.003906,7,21.124975899991114,0.002232142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,val,0.24814707785844803,0.23814663290977478,0.24351663142442703,0.0,0.0,0.010000447742640972,0.00022285714285714283,,2,2.4227091999928234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,train,0.21531928649970464,0.20428300755364553,0.20701750687190465,0.0,0.0010348019506117062,0.01000147100005831,0.00022885714285714284,0.003906,7,20.941022899991367,0.012436224945953913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,val,0.2561667636036873,0.24616658687591553,0.2542263939976692,0.0,0.0,0.010000180453062057,0.00022885714285714284,,2,2.298329700002796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,train,0.2359249315091542,0.22487573325634003,0.2268268529857908,0.0,0.0010477286788435386,0.010001472330519132,0.00023485714285714283,0.003906,7,20.028028399989125,0.008928571428571428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,val,0.262038990855217,0.25203897058963776,0.2550346851348877,0.0,0.0,0.010000025853514671,0.00023485714285714283,,2,2.70924300000479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,train,0.24819788762501307,0.2378941455057689,0.2412439307996205,0.0,0.00030160502813357325,0.010002137960067816,0.00024085714285714284,0.003906,7,20.99008319999848,0.45567602132047924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,val,0.24753987044095993,0.23753884434700012,0.24382863193750381,0.0,0.0,0.01000102236866951,0.00024085714285714284,,2,2.38412810000591,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
